outcome,team,r.squared
gpa,ADSgrp5 ,0.17957995006325955
gpa,aemack ,0.15303879288510636
gpa,agalle ,0.0892232670854729
gpa,alexlibby ,-0.1223018638989597
gpa,alhajri ,0.11127445870334862
gpa,Alpaca_CultureAsAWoolkit ,0.08721298973703218
gpa,amaatouq ,0.1725689213668593
gpa,amagann ,-0.13149177047483174
gpa,amcz ,-0.6854820787322771
gpa,amorgan ,0.06141345608611193
gpa,amusse ,0.08922326238667966
gpa,Anahit_Sargsyan ,0.14539409331752307
gpa,andrewor ,0.11821922911307514
gpa,annafil ,-6.661338147750939e-16
gpa,aprilfeifei ,0.15950628452515592
gpa,au324 ,0.06786944949475304
gpa,aurora1994 ,0.15362477782741202
gpa,aycai ,0.0892232670854729
gpa,azizkag ,-20.042787886333333
gpa,baseline ,-6.661338147750939e-16
gpa,bertalan ,-0.1489832038142509
gpa,bjgoode ,0.1403522096613682
gpa,bleizman ,0.0681997405976803
gpa,bnigdeli ,-2.8942268803788807e-8
gpa,brjohns ,-1.0562462016139307e-10
gpa,Bumblebee2023 ,0.05841688270600587
gpa,bz247 ,0.08279530696227866
gpa,carnegien ,0.17266589675317212
gpa,ccgilroy ,-0.4184137100358081
gpa,chicacvr ,0.17810949360106543
gpa,chris ,-0.03722707639444378
gpa,cjqian ,0.06392326809582916
gpa,cnstahl ,-1.2161383011743965e-12
gpa,datascience ,-6.661338147750939e-16
gpa,davidj ,0.1781405920285719
gpa,ddmmgg ,0.04878618582132921
gpa,devanshg ,-0.6796438317043128
gpa,dkozuch ,-0.015154476726136235
gpa,dliu18 ,-1.2161383011743965e-12
gpa,dremalt ,0.10334695071259248
gpa,drigobon ,0.14982572193608235
gpa,DS ,-19.256918127905085
gpa,eaman ,0.1765636566263551
gpa,ec ,-0.10230213222683204
gpa,echiou ,-3.6694036265276306
gpa,edz ,0.10530643115657046
gpa,ehk02004 ,0.09350885066313952
gpa,ekaban15 ,-2.8942268803788807e-8
gpa,err ,-1.0562462016139307e-10
gpa,ETsurkov ,0.10080180029530494
gpa,FormidableFamily ,0.14341036826652842
gpa,fperraudeau ,0.0830240707413048
gpa,fw ,-0.1019597635725531
gpa,ggundersen ,-20.042787886333333
gpa,ghe ,-7.698450841558785
gpa,greg.faletto ,0.08441379946639982
gpa,gregversteeg ,-0.13179549199762586
gpa,gsharma298 ,-24.63601818464877
gpa,gturunc16 ,-1.0562462016139307e-10
gpa,gulnihaltuzun ,-2.8942268803788807e-8
gpa,gwaldrop ,0.17277153046482885
gpa,haixiaow ,0.15488123142173682
gpa,hamidrezaomidvar ,-0.05775042665696084
gpa,hchai ,-2.2616842818526695
gpa,hesohn ,0.0663684104340101
gpa,hinthornw ,-0.16596680336439507
gpa,hty ,0.08922173826567115
gpa,ihorwitz ,0.011396887511788134
gpa,is2548_is ,0.15776825097402847
gpa,IU_Sociology ,-4.440892098500626e-16
gpa,jeremyfreese ,0.12449999070105311
gpa,jeremykanter ,-1.0562462016139307e-10
gpa,jgagne ,0.12930865917699774
gpa,jlhillny ,0.1475936012187098
gpa,jmels13 ,-2.4219020788862622e-8
gpa,jnchen ,-0.026386239331013472
gpa,joshua_becker_upenn ,-1.0562462016139307e-10
gpa,joshua800 ,-0.008642813693259921
gpa,Justajwu ,0.15965636826346707
gpa,jzrf ,0.1649053099277793
gpa,KAG ,0.14173659901236657
gpa,kapoor ,0.08009608727718909
gpa,karenfeng ,0
gpa,karipuf ,0.16538839884620382
gpa,katamg ,0.10372867083165194
gpa,Katy_P ,0.11144823231036938
gpa,kgenova ,-0.08466231473173114
gpa,khiguera ,0.008165148682505396
gpa,kivan ,-1.0780262748687353
gpa,kouyang ,0.12608976412334216
gpa,largyle ,0.06869224453421985
gpa,lazs ,-0.03286007073460806
gpa,lbb285 ,0.10775039078096404
gpa,lennyc ,0.013839297684457574
gpa,lkermode ,-1.2078948305625916
gpa,LouisR ,0.15267074608097897
gpa,lpschnab ,0.11621982926045593
gpa,mackl ,-1.0562462016139307e-10
gpa,malte ,0.17186663661004697
gpa,mannyg ,0.10535205541267134
gpa,maria_yr ,-1.0562462016139307e-10
gpa,mb298 ,0.08763434138089521
gpa,mdb ,-6.661338147750939e-16
gpa,mdrc ,-1.0562462016139307e-10
gpa,mkapoor ,-0.12863795810236778
gpa,mloyola ,0.06698293672647992
gpa,mogwai ,-1.0562462016139307e-10
gpa,mollylewis ,-1.0562462016139307e-10
gpa,mrytting ,-0.6179101951510082
gpa,mwhuhn ,-6.661338147750939e-16
gpa,myeomans ,0.06141345608708926
gpa,NaijiaLiu ,-0.058342572509253454
gpa,neamah ,-0.7441855721568285
gpa,nmandell ,0.1665387480536974
gpa,nperina ,0.09168067538466795
gpa,ovarol ,0.18184258994996916
gpa,Pentlandians ,0.17444226371707183
gpa,phoebs ,-1.0562462016139307e-10
gpa,pkrafft ,6.306926462673612e-4
gpa,ppz ,-0.06558160295280313
gpa,prakhar ,-0.3816978950497971
gpa,pups33 ,0.10784865400602517
gpa,rbamos ,-0.10163986450918916
gpa,rcompton ,0.13539880083469014
gpa,red_potato85 ,-0.02378565302599278
gpa,rfjz ,0.1649053099277793
gpa,rtodd ,-1.0562462016139307e-10
gpa,ruoyangp ,-1.0562462016139307e-10
gpa,ryanh ,0.06262128650919241
gpa,ryanjgallag ,-1.2161383011743965e-12
gpa,samantha_malte ,0.16224924933004625
gpa,sender ,0.08418786851340365
gpa,shashim ,6.401498220398594e-10
gpa,shausen ,0.11132777378041259
gpa,siemann ,0.08418786849842519
gpa,signoret ,0.0826825300485673
gpa,siqbal16 ,-2.8942268803788807e-8
gpa,smalamut ,0.0016092691342781684
gpa,soc383 ,0.12463577069555054
gpa,spike_slab_team ,0.16583611116883745
gpa,sw2009 ,-6.661338147750939e-16
gpa,sy ,0.1913425036133498
gpa,t.f.schaffner ,0.1698701995866756
gpa,Tamkinat ,0.10814749361187082
gpa,tdavidson ,0.09063559968112944
gpa,the_Brit ,0.14665389316190913
gpa,TheLoneCodeman ,-0.08712039670980332
gpa,Tina_the_Llama ,0.03167709349012249
gpa,tongwang ,-0.04493352944066542
gpa,user ,0.002314485884996942
gpa,user1 ,0.0016092691342781684
gpa,vharman2 ,0.07969261613564149
gpa,visseho ,-20.042787886333333
gpa,weggert ,0.13736897707003481
gpa,wjlei1990 ,0.1771624726302612
gpa,wnowak ,-1.0562462016139307e-10
gpa,wrcCOS424 ,-4.490766976197768
gpa,yaboybillnye ,-0.18309673978716257
gpa,yjpeng ,0.18199368229369906
gpa,yuex ,-1.2161383011743965e-12
gpa,zn2146 ,-6.661338147750939e-16
grit,ADSgrp5 ,0.03977150585335476
grit,aemack ,0.043399721043456796
grit,agalle ,0.004449201612904297
grit,alexlibby ,-0.11463732757254474
grit,alhajri ,-0.003284684993821285
grit,Alpaca_CultureAsAWoolkit ,-0.008449003036800962
grit,amaatouq ,0.045577834383189075
grit,amagann ,1.4730439090726577e-12
grit,amcz ,1.4730439090726577e-12
grit,amorgan ,4.440892098500626e-16
grit,amusse ,-1.906938040878714e-4
grit,Anahit_Sargsyan ,-37.1339644628286
grit,andrewor ,0.0013080056299895615
grit,annafil ,-2.220446049250313e-16
grit,aprilfeifei ,0.0207563729607253
grit,au324 ,-0.009927120890268482
grit,aurora1994 ,0.04248981163014598
grit,aycai ,0.004449201612904297
grit,azizkag ,-46.22730156795658
grit,baseline ,-2.220446049250313e-16
grit,bertalan ,-0.3234859901691194
grit,bjgoode ,-0.009584815631421773
grit,bleizman ,-0.0019629356170038914
grit,bnigdeli ,-0.002313582730785635
grit,brjohns ,0.030460812224573863
grit,Bumblebee2023 ,-0.010545834771795048
grit,bz247 ,-0.0259979056204529
grit,carnegien ,0.02568284674468757
grit,ccgilroy ,-2.220446049250313e-16
grit,chicacvr ,-2.220446049250313e-16
grit,chris ,-0.23941925186170376
grit,cjqian ,1.4730439090726577e-12
grit,cnstahl ,2.4424906541753444e-13
grit,datascience ,-2.220446049250313e-16
grit,davidj ,0.05792211109950973
grit,ddmmgg ,-0.0012593486976935075
grit,devanshg ,-1.3135635330498716
grit,dkozuch ,-0.02096008046283382
grit,dliu18 ,2.4424906541753444e-13
grit,dremalt ,0.026896915071566108
grit,drigobon ,0.036517522867384966
grit,DS ,-40.61414714511077
grit,eaman ,0.053845876358266875
grit,ec ,-0.003504359443684324
grit,echiou ,-2.220446049250313e-16
grit,edz ,-2.220446049250313e-16
grit,ehk02004 ,-0.0024546833401972723
grit,ekaban15 ,-0.002313582730785635
grit,err ,1.4730439090726577e-12
grit,ETsurkov ,-0.010279833796613458
grit,FormidableFamily ,0.003093164411612115
grit,fperraudeau ,0.00550727118049843
grit,fw ,-1.1215390398544578e-4
grit,ggundersen ,-46.22730156795658
grit,ghe ,-5.131651348336081
grit,greg.faletto ,0.0016339995737706392
grit,gregversteeg ,-0.023994452338457428
grit,gsharma298 ,-20.30116062055634
grit,gturunc16 ,-0.061761972808682675
grit,gulnihaltuzun ,-0.002313582730785635
grit,gwaldrop ,0.04798062175063078
grit,haixiaow ,-0.011367827129312946
grit,hamidrezaomidvar ,-0.023143747020282435
grit,hchai ,-6.186102187055907
grit,hesohn ,-6.941019536910176e-9
grit,hinthornw ,-0.03761375453972371
grit,hty ,0.004449126887598798
grit,ihorwitz ,1.6427790309203605e-4
grit,is2548_is ,-2.220446049250313e-16
grit,IU_Sociology ,-2.220446049250313e-16
grit,jeremyfreese ,0.02854193759632473
grit,jeremykanter ,1.4730439090726577e-12
grit,jgagne ,0.03172515217779148
grit,jlhillny ,0.0019375909077923303
grit,jmels13 ,-6.941019536910176e-9
grit,jnchen ,-0.15383543590590776
grit,joshua_becker_upenn ,1.4730439090726577e-12
grit,joshua800 ,-23.14463934497198
grit,Justajwu ,0.0481749781502524
grit,jzrf ,0.012550506768730263
grit,KAG ,0.04794010984501562
grit,kapoor ,0.03271259000545346
grit,karenfeng ,0
grit,karipuf ,0.022529234768389972
grit,katamg ,0.026586184284917658
grit,Katy_P ,0.002778404410689772
grit,kgenova ,-0.006844299360724726
grit,khiguera ,0
grit,kivan ,-0.2525688160061679
grit,kouyang ,0.05158506065698909
grit,largyle ,-0.002106690945364198
grit,lazs ,-1.9069376947999928e-4
grit,lbb285 ,0.048173634293163126
grit,lennyc ,-0.004340272281043278
grit,lkermode ,-2.2237100823857117
grit,LouisR ,0.02408571053457842
grit,lpschnab ,1.4730439090726577e-12
grit,mackl ,1.4730439090726577e-12
