extension,symbol,n,class1,class2,unsure,notes
py,randint,33,prep,rand,,
r,sample,33,prep,subs,,
py,sort,32,prep,,,
py,timedelta64,32,prep,type,,
r,rownames,32,prep,,,
py,mod,31,prep,oper,,
py,shuffle,31,prep,rand,,
py,notnull,29,prep,test,,
r,head,29,prep,subs,,
do,save,26,prep,sys,,
py,loadtxt,26,prep,sys,,
r,as.character,26,prep,type,,
do,cap,25,prep,sys,,
r,rbind,25,prep,merg,,
py,argparse,24,prep,sys,,
r,tar,24,prep,sys,,
r,amelia,23,prep,impu,,
r,dir,23,prep,sys,,"system (file io, parallelization, control flow)"
r,order,23,prep,,,
r,replace,23,prep,,,
do,codebook,22,prep,feat,y,
r,abs,22,prep,oper,,
r,ls,22,prep,sys,,
r,set.seed,22,prep,sys,,
do,log,21,prep,sys,,
py,add,21,prep,oper,,
py,merge,21,prep,merg,,
py,where,21,prep,test,,
r,round,21,prep,oper,,
r,seq,21,prep,,,
do,do,20,prep,sys,,
r,file.path,20,prep,sys,,
r,is.null,20,prep,test,,
do,merge,19,prep,merg,,
r,mice,19,prep,impu,,
py,argmax,18,prep,oper,,
py,pickle,18,prep,sys,,
py,to_pickle,18,prep,sys,,
r,contains,18,prep,,,
py,utils,17,prep,sys,,
r,missforest,17,prep,impu,,
r,sort,17,prep,,,
do,summarize,16,prep,summ,,
do,varlist,16,prep,sys,,
py,exp,16,prep,oper,,
py,read_pickle,16,prep,sys,,
py,reshape,16,prep,,,
py,unique,16,prep,test,,
r,mode,16,prep,oper,,
r,sub,16,prep,,,
r,sys.time,16,prep,sys,,
r,write,16,prep,sys,,
do,order,15,prep,sort,y,
m,end,15,prep,sys,,
py,log10,15,prep,oper,,
py,matrix,15,prep,type,,
py,ones,15,prep,,,
r,impute,15,prep,impu,,
r,is.numeric,15,prep,test,,
r,missmap,15,prep,impu,,
r,scale,15,prep,,,
do,bysort,14,prep,sys,,
do,cd,14,prep,sys,,
py,asarray,14,prep,type,,
py,save,14,prep,sys,,
py,sklearn.pipeline,14,prep,sys,,
r,install.packages,14,prep,sys,,
r,plyr,14,prep,,,
r,sqrt,14,prep,oper,,
r,which.max,14,prep,test,,
py,iteritems,13,prep,sys,,
py,to_numeric,13,prep,type,,
r,as.integer,13,prep,type,,
r,complete,13,prep,,,
r,exp,13,prep,oper,,
r,get,13,prep,sys,y,
do,impute,12,prep,impu,,
py,any,12,prep,test,,
py,iterrows,12,prep,sys,,
py,multiply,12,prep,oper,,
py,sqrt,12,prep,oper,,
r,pmax,12,prep,feat,,
r,within,12,prep,sys,,
r,colmeans,11,prep,summ,y,
r,do.call,11,prep,,,
r,log,11,prep,oper,,
r,which.min,11,prep,test,,
r,write_csv,11,prep,sys,,
do,close,10,prep,sys,,
py,count_nonzero,10,prep,,,
py,from_dict,10,prep,sys,,
py,get_dummies,10,prep,feat,,
py,os.path,10,prep,sys,,
r,doparallel,10,prep,sys,,
r,format,10,prep,,y,
r,intersect,10,prep,feat,,
r,ordered,10,prep,,,
r,registerdoparallel,10,prep,sys,,
r,remove,10,prep,sys,,
r,revalue,10,prep,,,recoding?
r,setdiff,10,prep,,,
r,typeof,10,prep,type,,
m,factor,9,prep,type,,
py,divide,9,prep,oper,,
py,float64,9,prep,type,,
py,getopt,9,prep,sys,,
py,seed,9,prep,sys,,
r,alpha,9,prep,oper,y,
r,expand.grid,9,prep,feat,,
m,fullfile,8,prep,sys,,
py,describe,8,prep,,,
py,ipython.core.interactiveshell,8,prep,sys,,
py,isfinite,8,prep,test,,
py,median,8,prep,oper,,
py,randn,8,prep,rand,,
py,round,8,prep,oper,,
r,beta,8,prep,oper,y,
r,bind_rows,8,prep,merg,,
r,boot,8,prep,impu,y,
r,mutate,8,prep,feat,,
r,n,8,prep,sys,,
r,preprocess,8,prep,,y,
r,diag,7,prep,subs,y,
r,gsub,7,prep,,,
r,rowsums,7,prep,summ,,
do,cf,6,prep,sys,,
m,find,6,prep,,,
m,TRUE,6,prep,test,,
py,all,6,prep,test,,
py,datetime,6,prep,type,,
py,double,6,prep,type,,
r,count,6,prep,summ,,
r,gamma,6,prep,oper,y,
r,hs.var.select,6,prep,feat,,
r,i,6,prep,sys,,
r,matrix,6,prep,,,
r,rfimpute,6,prep,impu,,
r,type,6,prep,type,,
r,unname,6,prep,,,
do,ge,5,prep,feat,,
do,generate,5,prep,feat,,
do,tab1,5,prep,summ,,
m,function,5,prep,sys,,
py,filter,5,prep,test,,
py,maximum,5,prep,oper,,
py,set_value,5,prep,sys,,
r,any,5,prep,test,,
r,as.list,5,prep,type,,
r,as.vector,5,prep,type,,
r,filter,5,prep,subs,,
r,map,5,prep,,,
r,nearzerovar,5,prep,feat,,
r,save.image,5,prep,sys,,
r,writelines,5,prep,sys,,
do,exp,4,prep,oper,,
m,fclose,4,prep,sys,,
m,fopen,4,prep,sys,,
m,for,4,prep,sys,,
m,repmat,4,prep,,,
m,textscan,4,prep,,,
m,tic,4,prep,sys,,
m,toc,4,prep,sys,,
py,diff,4,prep,oper,,
py,fancyimpute,4,prep,impu,,
py,rand,4,prep,rand,,
py,to_string,4,prep,sys,,
py,utilities,4,prep,sys,,
r,append,4,prep,merg,,
r,cat,4,prep,oper,,
r,ddply,4,prep,merg,,
r,domc,4,prep,sys,,
r,floor,4,prep,oper,,
r,foba,4,prep,feat,,
r,getwd,4,prep,sys,,
r,is.factor,4,prep,test,,
r,is.finite,4,prep,test,,
r,raw,4,prep,type,,
r,registerdomc,4,prep,sys,,
r,sink,4,prep,sys,,
r,str_detect,4,prep,,,
r,substr,4,prep,,,
r,sweep,4,prep,,y,
r,upper.tri,4,prep,feat,y,
do,append,3,prep,merg,,
do,round,3,prep,,,
m,any,3,prep,test,,
m,disp,3,prep,sys,,
m,isnan,3,prep,type,,
m,zeros,3,prep,,,
py,division,3,prep,oper,,
py,sklearn.feature_extraction.text,3,prep,feat,,
r,collapse,3,prep,merg,,
r,ends_with,3,prep,,,
r,factorial,3,prep,oper,,
r,fselector,3,prep,feat,,
r,inner_join,3,prep,merg,,
r,left_join,3,prep,merg,,
r,lower.tri,3,prep,feat,y,
r,mapvalues,3,prep,,,
r,melt,3,prep,matr,y,reshaping
r,nzv,3,prep,feat,,
r,one_of,3,prep,test,,
r,proc.time,3,prep,sys,,
r,read.table,3,prep,sys,,
r,rowmeans,3,prep,,,
r,seq_along,3,prep,,,
r,src,3,prep,sys,,
r,str_extract_all,3,prep,,,
r,system,3,prep,sys,,
r,trace,3,prep,,,
r,TRUE,3,prep,test,,
r,trycatch,3,prep,sys,,
do,substr,2,prep,,,
do,summ,2,prep,summ,,
m,cell,2,prep,sys,,
m,char,2,prep,type,,
m,csvwrite,2,prep,sys,,
m,length,2,prep,,,
m,line,2,prep,,,
m,size,2,prep,sys,,
m,sort,2,prep,,,distinguish sorting?
py,amax,2,prep,oper,,
py,ipython.display,2,prep,sys,,
py,logical_not,2,prep,oper,,
py,set_printoptions,2,prep,sys,,
r,abind,2,prep,merg,,
r,all.vars,2,prep,,,
r,createfolds,2,prep,subs,,
r,cvfolds,2,prep,subs,,
r,dummy.data.frame,2,prep,feat,,
r,findcorrelation,2,prep,feat,y,
r,foreach,2,prep,sys,,
r,formatc,2,prep,,y,
r,is.integer,2,prep,test,,
r,nchar,2,prep,,,
r,options,2,prep,sys,,
r,opts_chunk,2,prep,sys,,
r,pool,2,prep,impu,,
r,prop.table,2,prep,summ,,use this more above
r,rbind.fill,2,prep,merg,,
r,rmarkdown,2,prep,sys,,
r,row,2,prep,,,
r,sbfcontrol,2,prep,feat,,
r,spread,2,prep,,,
r,starts_with,2,prep,,,
r,substring,2,prep,,,
r,warning,2,prep,sys,,
r,write.table,2,prep,sys,,
do,date,1,prep,type,,
do,g,1,prep,feat,,
m,class,1,prep,sys,,
m,fgetl,1,prep,sys,,
m,setdiff,1,prep,,y,
py,amin,1,prep,oper,,
py,from_csv,1,prep,sys,,
py,ipython,1,prep,sys,,
py,preprocess.factorize,1,prep,feat,,
py,preprocess.impute,1,prep,impu,,
py,read_hdf,1,prep,sys,,
py,savez_compressed,1,prep,sys,,
py,set_option,1,prep,sys,,
py,shutil,1,prep,sys,,
py,sin,1,prep,oper,,
py,sklearn.dummy,1,prep,feat,,
py,string,1,prep,type,,
py,subprocess,1,prep,sys,,
py,timeit,1,prep,sys,,
py,to_sparse,1,prep,sys,,
py,util,1,prep,sys,,
r,aggr,1,prep,,y,
r,anti_join,1,prep,merg,,
r,aregimpute,1,prep,impu,y,
r,assertthat,1,prep,test,,
r,assign,1,prep,oper,,
r,attr,1,prep,oper,,
r,avg,1,prep,oper,y,
r,boruta,1,prep,feat,,
r,cbps,1,prep,feat,y,matching
r,ceiling,1,prep,oper,,
r,createdatapartition,1,prep,subs,,
r,dirname,1,prep,sys,,
r,dummies,1,prep,feat,,
r,gather,1,prep,merg,,
r,installed.packages,1,prep,sys,,
r,is.character,1,prep,test,,
r,japply,1,prep,,,
r,knnimputation,1,prep,impu,,
r,lmsbf,1,prep,feat,,
r,makeforkcluster,1,prep,sys,,
r,mapply,1,prep,,,
r,md.pattern,1,prep,impu,y,
r,memory.limit,1,prep,sys,,
r,message,1,prep,sys,,
r,mi,1,prep,feat,y,
r,missmda,1,prep,impu,,
r,object.size,1,prep,sys,,
r,p_load,1,prep,sys,,
r,parsapply,1,prep,sys,,
r,printcp,1,prep,sys,,
r,proc,1,prep,sys,,
r,quote,1,prep,,y,
r,read_dta,1,prep,sys,,
r,readrds,1,prep,sys,,
r,reduce,1,prep,,y,
r,render,1,prep,sys,,
r,resamples,1,prep,feat,y,
r,rfecontrol,1,prep,feat,,
r,sbf,1,prep,feat,,
r,seq_len,1,prep,,,
r,sprintf,1,prep,,,
r,stopcluster,1,prep,sys,,
r,stopifnot,1,prep,sys,,
r,stopimplicitcluster,1,prep,sys,,
r,str_extract,1,prep,,,
r,strsplit,1,prep,,,
r,suppressmessages,1,prep,sys,,
r,sys.date,1,prep,sys,,
r,tidy,1,prep,,,
r,write.amelia,1,prep,sys,,
r,xml,1,prep,sys,,
py,numpy,203,prep,pack,,
py,pandas,160,prep,pack,,
py,pd,155,prep,pack,,
py,sklearn,113,prep,pack,,
py,math,44,prep,pack,,
r,dplyr,17,prep,pack,,
r,readr,17,prep,pack,,
r,caret,15,prep,pack,,
r,dbarts,15,prep,pack,,
py,sklearn.externals,14,prep,pack,,
r,zelig,12,prep,pack,,
py,collections,11,prep,pack,,
r,stringr,9,prep,pack,,
py,sklearn_pandas,8,prep,pack,,
py,scipy,7,prep,pack,,
r,e1071,7,prep,pack,,
r,mass,7,prep,pack,,
r,arm,6,prep,pack,,
r,tidyr,6,prep,pack,,
py,__future__,5,prep,pack,,
py,sk,5,prep,pack,,
r,tidyverse,5,prep,pack,,
py,sklearn.base,4,prep,pack,,
