outcome,team,r.squared,beatingBaseline
eviction,shausen,0.025756273486529313,TRUE
eviction,siemann,-0.06261104330949618,FALSE
eviction,signoret,-0.052321309260749294,FALSE
eviction,siqbal16,-1.3075096561010469e-11,FALSE
eviction,smalamut,-0.06261104330949618,FALSE
eviction,soc383,0.029809626174118087,TRUE
eviction,spike_slab_team,0.03777360169345845,TRUE
eviction,sw2009,0,FALSE
eviction,sy,-0.025599776770691918,FALSE
eviction,t.f.schaffner,-0.06261104330949618,FALSE
eviction,Tamkinat,0.02679476977793216,TRUE
eviction,tdavidson,0,FALSE
eviction,the_Brit,-0.027995743289855657,FALSE
eviction,TheLoneCodeman,-4.721751771666518,FALSE
eviction,Tina_the_Llama,0.013368288172767584,TRUE
eviction,tongwang,1.2158385409577477e-11,FALSE
eviction,user,-0.14209483876637252,FALSE
eviction,user1,-0.06261104330949618,FALSE
eviction,vharman2,0.012929582035981713,TRUE
eviction,visseho,-0.06261104330949618,FALSE
eviction,weggert,-0.06261104330949618,FALSE
eviction,wjlei1990,0.031592236325057255,TRUE
eviction,wnowak,1.2158385409577477e-11,FALSE
eviction,wrcCOS424,-5.392014122061738,FALSE
eviction,yaboybillnye,-4.556093255469029,FALSE
eviction,yjpeng,0.026012923824917156,TRUE
eviction,yuex,-0.06261104330949618,FALSE
eviction,zn2146,0,FALSE
gpa,ADSgrp5,0.1795799500632601,TRUE
gpa,aemack,0.1530387928851069,TRUE
gpa,agalle,0.08922326708547346,TRUE
gpa,alexlibby,-0.12230186389895903,FALSE
gpa,alhajri,0.11127445870334918,TRUE
gpa,Alpaca_CultureAsAWoolkit,0.08721298973703273,TRUE
gpa,amaatouq,0.17256892136685986,TRUE
gpa,amagann,-0.13149177047483107,FALSE
gpa,amcz,-0.685482078732276,FALSE
gpa,amorgan,0.061413456086112594,TRUE
gpa,amusse,0.08922326238668021,TRUE
gpa,Anahit_Sargsyan,0.14539409331752362,TRUE
gpa,andrewor,0.11821922911307581,TRUE
gpa,annafil,0,FALSE
gpa,aprilfeifei,0.15950628452515647,TRUE
gpa,au324,0.0678694494947536,TRUE
gpa,aurora1994,0.15362477782741257,TRUE
gpa,aycai,0.08922326708547346,TRUE
gpa,azizkag,-20.04278788633332,FALSE
gpa,bertalan,0.0272198599759369,TRUE
gpa,bjgoode,0.14035220966136874,TRUE
gpa,bleizman,0.06819974059768097,TRUE
gpa,bnigdeli,-2.8942268137654992e-8,FALSE
gpa,brjohns,-1.0562395402757829e-10,FALSE
gpa,Bumblebee2023,0.05841688270600642,TRUE
gpa,bz247,0.08279530696227932,TRUE
gpa,carnegien,0.17266589675317268,TRUE
gpa,ccgilroy,-0.4184137100358072,FALSE
gpa,chicacvr,0.17810949360106598,TRUE
gpa,chris,-0.037227076394443115,FALSE
gpa,cjqian,0.06392326809582982,TRUE
gpa,cnstahl,-1.2156942119645464e-12,FALSE
gpa,datascience,0,FALSE
gpa,davidj,0.17814059202857246,TRUE
gpa,ddmmgg,0.048786185821329875,TRUE
gpa,devanshg,-0.6796438317043116,FALSE
gpa,dkozuch,-0.015154476726135568,FALSE
gpa,dliu18,-1.2156942119645464e-12,FALSE
gpa,dremalt,0.10334695071259303,TRUE
gpa,drigobon,0.1498257219360829,TRUE
gpa,DS,-19.25691812790507,FALSE
gpa,eaman,0.17656365662635565,TRUE
gpa,ec,0.08999406572394719,TRUE
gpa,echiou,-3.669403626527627,FALSE
gpa,edz,0.10530643115657101,TRUE
gpa,ehk02004,0.09350885066314008,TRUE
gpa,ekaban15,-2.8942268137654992e-8,FALSE
gpa,err,-1.0562395402757829e-10,FALSE
gpa,ETsurkov,0.1008018002953055,TRUE
gpa,FormidableFamily,0.14341036826652898,TRUE
gpa,fperraudeau,0.08302407074130547,TRUE
gpa,fw,0.09001245832345672,TRUE
gpa,ggundersen,-20.04278788633332,FALSE
gpa,ghe,-7.698450841558779,FALSE
gpa,greg.faletto,0.08441379946640049,TRUE
gpa,gregversteeg,-0.1317954919976252,FALSE
gpa,gsharma298,-24.63601818464875,FALSE
gpa,gturunc16,-1.0562395402757829e-10,FALSE
gpa,gulnihaltuzun,-2.8942268137654992e-8,FALSE
gpa,gwaldrop,0.1727715304648294,TRUE
gpa,haixiaow,0.15488123142173738,TRUE
gpa,hamidrezaomidvar,0.1424919861068552,TRUE
gpa,hchai,-2.2616842818526677,FALSE
gpa,hesohn,0.06636841043401076,TRUE
gpa,hinthornw,-0.16596680336439418,FALSE
gpa,hty,0.08922173826567181,TRUE
gpa,ihorwitz,0.0113968875117888,TRUE
gpa,is2548_is,0.15776825097402902,TRUE
gpa,IU_Sociology,1.1102230246251565e-16,FALSE
gpa,jeremyfreese,0.12449999070105378,TRUE
gpa,jeremykanter,-1.0562395402757829e-10,FALSE
gpa,jgagne,0.1293086591769983,TRUE
gpa,jlhillny,0.14759360121871035,TRUE
gpa,jmels13,-2.4219020122728807e-8,FALSE
gpa,jnchen,-0.026386239331012806,FALSE
gpa,joshua_becker_upenn,-1.0562395402757829e-10,FALSE
gpa,joshua800,-0.008642813693259477,FALSE
gpa,Justajwu,0.15965636826346763,TRUE
gpa,jzrf,0.16490530992777985,TRUE
gpa,KAG,0.14173659901236724,TRUE
gpa,kapoor,0.08009608727718975,TRUE
gpa,karenfeng,6.661338147750939e-16,FALSE
gpa,karipuf,0.16538839884620438,TRUE
gpa,katamg,0.1037286708316526,TRUE
gpa,Katy_P,0.11144823231036993,TRUE
gpa,kgenova,0.1737759054135174,TRUE
gpa,khiguera,0.008165148682506063,TRUE
gpa,kivan,-1.078026274868734,FALSE
gpa,kouyang,0.12608976412334272,TRUE
